iter	Passed	Remaining
0	12	6153
1	20	5148
2	29	4928
3	38	4720
4	45	4538
5	53	4437
6	62	4426
7	94	5836
8	107	5885
9	120	5926
10	128	5701
11	135	5529
12	143	5369
13	150	5225
14	157	5095
15	164	4980
16	172	4893
17	179	4807
18	186	4728
19	194	4658
20	201	4605
21	208	4539
22	216	4496
23	224	4444
24	233	4445
25	242	4429
26	252	4422
27	260	4394
28	269	4373
29	276	4338
30	289	4383
31	304	4447
32	356	5049
33	370	5071
34	384	5102
35	397	5129
36	408	5112
37	419	5094
38	431	5099
39	444	5110
40	459	5147
41	473	5160
42	483	5138
43	492	5100
44	499	5054
45	506	5000
46	534	5153
47	549	5170
48	561	5163
49	568	5116
50	575	5067
51	582	5020
52	589	4971
53	596	4926
54	603	4884
55	610	4844
56	618	4805
57	625	4768
58	633	4737
59	641	4701
60	649	4676
61	657	4648
62	665	4615
63	672	4582
64	680	4555
65	688	4525
66	696	4500
67	713	4530
68	736	4599
69	748	4599
70	756	4570
71	763	4538
72	770	4507
73	778	4478
74	785	4448
75	791	4417
76	798	4389
77	806	4362
78	813	4337
79	821	4310
80	828	4286
81	836	4261
82	844	4240
83	851	4218
84	859	4197
85	867	4175
86	874	4153
87	882	4132
88	890	4112
89	898	4091
90	909	4089
91	941	4174
92	955	4179
93	962	4159
94	970	4136
95	977	4112
96	984	4091
97	992	4069
98	999	4048
99	1006	4026
100	1013	4004
101	1021	3984
102	1028	3964
103	1035	3944
104	1044	3928
105	1051	3907
106	1059	3889
107	1067	3874
108	1075	3858
109	1083	3840
110	1094	3835
111	1108	3840
112	1122	3845
113	1134	3839
114	1144	3830
115	1156	3829
116	1170	3831
117	1183	3830
118	1193	3821
119	1204	3815
120	1213	3800
121	1226	3798
122	1243	3811
123	1274	3865
124	1290	3871
125	1298	3854
126	1307	3839
127	1318	3831
128	1347	3876
129	1359	3869
130	1369	3858
131	1376	3838
132	1384	3819
133	1391	3800
134	1398	3781
135	1406	3764
136	1413	3746
137	1421	3727
138	1428	3710
139	1436	3693
140	1444	3677
141	1452	3660
142	1460	3645
143	1467	3628
144	1476	3613
145	1484	3598
146	1492	3582
147	1500	3568
148	1507	3551
149	1515	3536
150	1522	3519
151	1532	3508
152	1559	3536
153	1571	3531
154	1582	3521
155	1589	3504
156	1596	3487
157	1603	3470
158	1611	3455
159	1618	3438
160	1625	3422
161	1632	3406
162	1640	3390
163	1648	3376
164	1655	3360
165	1663	3346
166	1671	3332
167	1678	3317
168	1686	3302
169	1694	3289
170	1702	3275
171	1710	3261
172	1727	3265
173	1751	3281
174	1763	3275
175	1770	3259
176	1777	3244
177	1785	3229
178	1792	3214
179	1799	3199
180	1806	3183
181	1813	3168
182	1820	3153
183	1827	3138
184	1834	3124
185	1842	3110
186	1850	3096
187	1858	3083
188	1865	3069
189	1874	3058
190	1883	3047
191	1894	3038
192	1910	3039
193	1950	3077
194	1972	3084
195	1983	3076
196	1997	3071
197	2011	3067
198	2022	3058
199	2032	3048
200	2042	3038
201	2054	3031
202	2065	3022
203	2076	3013
204	2084	3000
205	2093	2987
206	2102	2975
207	2110	2963
208	2122	2955
209	2144	2960
210	2163	2963
211	2177	2958
212	2185	2944
213	2192	2930
214	2199	2915
215	2206	2901
216	2213	2886
217	2220	2872
218	2227	2858
219	2235	2844
220	2242	2831
221	2250	2818
222	2258	2804
223	2266	2792
224	2274	2779
225	2281	2765
226	2288	2752
227	2296	2739
228	2304	2727
229	2312	2714
230	2345	2730
231	2358	2724
232	2368	2714
233	2375	2700
234	2383	2687
235	2390	2674
236	2397	2661
237	2405	2647
238	2412	2634
239	2419	2620
240	2426	2607
241	2433	2594
242	2441	2581
243	2448	2569
244	2456	2556
245	2464	2544
246	2472	2532
247	2480	2520
248	2487	2507
249	2495	2495
250	2503	2483
251	2521	2481
